ACCOUNT_NUMBER,COST_CENTER_CODE,FISCAL_YEAR,FISCAL_MONTH,ORIGINAL_AMOUNT,ADJUSTED_AMOUNT,SPREAD_METHOD_CODE,NOTES
6000,SALES,2024,1,50000.00,50000.00,ACTUAL,Q1 Sales Budget
6000,SALES,2024,2,52000.00,52000.00,ACTUAL,Q1 Sales Budget
6000,SALES,2024,3,54000.00,54000.00,ACTUAL,Q1 Sales Budget
6100,SALES,2024,1,15000.00,15000.00,SPREAD,Marketing Expenses
6100,SALES,2024,2,15000.00,15000.00,SPREAD,Marketing Expenses
6100,SALES,2024,3,15000.00,15000.00,SPREAD,Marketing Expenses
7000,IT,2024,1,80000.00,82000.00,ACTUAL,IT Infrastructure
7000,IT,2024,2,80000.00,80000.00,ACTUAL,IT Infrastructure
7000,IT,2024,3,80000.00,78000.00,ACTUAL,IT Infrastructure - Reduced
6200,HR,2024,1,25000.00,25000.00,SPREAD,Recruitment Budget
6200,HR,2024,2,25000.00,27000.00,SPREAD,Recruitment Budget - Increased
6200,HR,2024,3,25000.00,25000.00,SPREAD,Recruitment Budget
5000,OPS,2024,1,120000.00,120000.00,ACTUAL,Operations Q1
5000,OPS,2024,2,125000.00,125000.00,ACTUAL,Operations Q1
5000,OPS,2024,3,130000.00,135000.00,ACTUAL,Operations Q1 - Adjustment
6500,SALES,2024,4,60000.00,60000.00,SPREAD,Q2 Sales Planning
6500,SALES,2024,5,62000.00,62000.00,SPREAD,Q2 Sales Planning
6500,SALES,2024,6,65000.00,65000.00,SPREAD,Q2 Sales Planning
7100,IT,2024,4,45000.00,45000.00,ACTUAL,Software Licenses Q2
7200,ADMIN,2024,1,30000.00,30000.00,SPREAD,Administrative Costs
